DATASET,NG_R2,RD_R2,NG_RMSE,RD_RMSE
Glycogen,0.495312917724322,0.5672885306909863,0.857660332939305,0.8050311303425421
Glycogen,0.49714642231883416,0.5522387759272107,0.8160884777044877,0.7787825865577813
B-raf,0.6287939579671801,0.6674551469767694,0.7469838531389282,0.7097864017862232
B-raf,0.6553234637017041,0.69650317239404,0.7323162930696572,0.6908041709343832
B-raf,0.626107817408988,0.6538508279444584,0.758835508164402,0.7314566334566944
B-raf,0.6493288025043875,0.672224049404013,0.7117052792829198,0.6899787944128982
B-raf,0.6420149734854851,0.6668199114796448,0.7457796047611407,0.7194807700024575
B-raf,0.714524862795353,0.7395014975812612,0.6685215441000608,0.6385873930155458
B-raf,0.6743840618922506,0.6884082650415249,0.7263678053446163,0.7120371281824045
B-raf,0.6533858158650261,0.6871008719483679,0.700549307114735,0.6668966404322145
B-raf,0.6586554766151758,0.6978692819565598,0.740419624996162,0.6992209922857842
B-raf,0.6573164394462813,0.6853201799040409,0.7360044774706064,0.7094663690692812
Glucocorticoid,0.5734638692737333,0.6038948569288133,0.6484108901499731,0.6297016339452038
Glucocorticoid,0.6294326251682568,0.6692455655744366,0.582135973180847,0.5503705659612532
Glucocorticoid,0.5234964332325868,0.5604306521276389,0.6839726449930994,0.6559626671785062
Glucocorticoid,0.5342325769251036,0.5710106530454614,0.6989001059724493,0.6723313015769722
Glucocorticoid,0.6357613896661504,0.6583337410575169,0.6003202109179957,0.5845128401369578
Glucocorticoid,0.5844787972842643,0.6422778525921023,0.6360183945626752,0.5930124535660295
Glucocorticoid,0.5608081195962468,0.5582218726097049,0.6384158909747673,0.6409821139487295
Glucocorticoid,0.5411817245818084,0.6024415945646938,0.658517570249182,0.6163429826819115
Glucocorticoid,0.5642983558375348,0.6092756068875503,0.669129981352781,0.6371388046471193
Glucocorticoid,0.548863883327006,0.5954747722009303,0.711639358005506,0.6793051869346147
Ephrin,0.49291113265686226,0.5324128036034323,0.7947164744305116,0.7646151611380667
Ephrin,0.49997613412260566,0.5532068490317361,0.7938298886604939,0.7542401719559505
Ephrin,0.4406629121034108,0.46215859358542133,0.8013509639846766,0.7864276305328382
Ephrin,0.4149623274065483,0.484366341620719,0.8462042032965122,0.7999631169649337
Ephrin,0.453008165504153,0.5420650701526578,0.8233517191126821,0.7585674697339045
Ephrin,0.49424327951740027,0.5619730460689054,0.785655757304513,0.7415282373472872
Ephrin,0.49716934785343836,0.5246835480383333,0.7998196692470063,0.780004925092413
Ephrin,0.561113798638063,0.5934809298637488,0.7112979276639803,0.6925946474448281
Ephrin,0.4732552256955944,0.5099913902283723,0.7666963923417015,0.7434009076233956
Ephrin,0.4667413034613378,0.5032986032260487,0.7772655344512392,0.7541700474835462
COX-1,0.34005134268546616,0.33794675411848063,0.708167967631626,0.7095832281872912
COX-1,0.2851145733531373,0.33222615554745843,0.7573312809371352,0.7326315668756173
COX-1,0.30154896513484364,0.3349906809093097,0.7876550419121053,0.7728319009033228
COX-1,0.34078823852011164,0.3960631857876331,0.7224830272777791,0.6998648208462227
COX-1,0.2759748780876804,0.29424885099963954,0.7373111206220444,0.7291154803483239
COX-1,0.30484513550126685,0.3601671990968971,0.6999930667741806,0.6764541076568067
COX-1,0.37710720987757607,0.39506724095891177,0.6767572674048049,0.6726543758608576
COX-1,0.2793949531972112,0.31580236409089973,0.7815274082144037,0.7656330039775231
COX-1,0.29043152043959375,0.34748777725448504,0.7275214195872649,0.703009250043068
COX-1,0.2689793582710491,0.2780401909347065,0.7797744700228513,0.776988317205886
Coagulation,0.46939320753613284,0.5230350728193364,0.9151023444833806,0.8734031234595505
Coagulation,0.5128934995306298,0.5645318491280742,0.851283844113854,0.8107539402618703
Coagulation,0.4802217447730973,0.47658534709766986,0.8974416024660782,0.9010699494373922
Coagulation,0.45515948537724393,0.49907154739334264,0.9102396840985302,0.8748384259430815
Coagulation,0.49581952196743084,0.5228626744929079,0.9009118895637955,0.8775419066193685
Coagulation,0.48472641612291567,0.5256824804017597,0.9228823093482297,0.891705739406968
Coagulation,0.4988969219099123,0.5545298830709634,0.9262613534731585,0.8819781745448474
Coagulation,0.4900322286765299,0.507080979593278,0.8918276022482992,0.879834896510264
Coagulation,0.5631672109911695,0.5652477733316973,0.8327632012500699,0.8303051458329245
Coagulation,0.5288947870107927,0.5517680494421907,0.8837491978433165,0.8641993734042293
COX-2,0.50473162727141,0.5059209838070121,0.8080961777370779,0.8071202993148436
COX-2,0.463143781504554,0.4873038991285023,0.8537524318253759,0.8352656704995031
COX-2,0.5020938733423622,0.534647672821638,0.8366167403633173,0.815696664361149
COX-2,0.5243819601208906,0.5438369857415772,0.8232282254347778,0.8106224577838345
COX-2,0.5228543657631963,0.5356219642091824,0.8095384909050519,0.8011685140540573
COX-2,0.5108515017164179,0.5438913054791775,0.8332668406092194,0.8071757445535359
COX-2,0.5424548136938256,0.5801385860884583,0.8211186405103451,0.7899956746356261
COX-2,0.4691692313397775,0.49454782616853366,0.85357605308203,0.8342280304545834
COX-2,0.47630703501731914,0.47997737253537626,0.8460234370400921,0.8438241316272558
COX-2,0.49277253285950545,0.5288830773735202,0.8448387389865281,0.8180463308120266
Monoamine,0.4952949243709148,0.5137602152848344,0.7551439331173672,0.7415381926823844
Monoamine,0.46988783485784485,0.5595815620819523,0.7545575979755896,0.6982207204776657
Monoamine,0.5610482047927552,0.571306618811404,0.6684064172464882,0.6632620976940719
Monoamine,0.4294177276289259,0.47826258266508265,0.7791940213178012,0.7510597162844856
Monoamine,0.47975470377636964,0.49960476408223387,0.7229848231441418,0.712069903096344
Monoamine,0.5419514213741676,0.6067548953328372,0.7251611822154582,0.6815557947829946
Monoamine,0.5233498384231857,0.5445447148464452,0.7282559528984752,0.7230276066170612
Monoamine,0.5070473916710575,0.5413880635928702,0.7395508451010913,0.713619093719906
Monoamine,0.5138590014840158,0.5284144766271414,0.7683373624737357,0.7670612034798758
Monoamine,0.49942435170444255,0.5494336849225493,0.7850204686856161,0.7580154811742443
Dopamine,0.5310496574957004,0.6206005376912851,0.7606828133158937,0.6961656272031885
Dopamine,0.4852152755761358,0.5529662206135346,0.814207496448699,0.7583697175254979
Dopamine,0.47046131578281064,0.48985565473056186,0.7623141703006238,0.7432514896215118
Dopamine,0.4705716083938071,0.452882230198503,0.7379933668127782,0.7536860348074691
Dopamine,0.5221914898114611,0.5630463913121776,0.7620824047982734,0.7233378352540991
Dopamine,0.5342286048450712,0.6087045197088441,0.7301697270086337,0.6664929270102913
